product_name,ingredient_list,cluster,x,y
Baby Head to Toe Milky Wash,"benzyl alcohol (and) ethylhexylglycerin (and) tocopherol, citric acid, cocamide dea, cocamidopropyl betaine, deionized water, fragrance, glycerin, polyquaternium-7, polysorbate 20, potassium laurate, sodium chloride, sodium laureth sulfate, styrene acrylic copolymer",3,5.2671723,0.44855198
Baby Head to toe 200 ml (Classic Blue Cap),"aqua, cocamidopropyl betaine, disodium edta, hydroxyethylcellulose, isopentyldiol, polyquaternium-10, polysorbate 20, sodium lauroyl sarcosinate",5,3.2133214,-0.060777448
Baby Head to toe 200 ml (Original Yellow Cap),"aqua, ci 15985, ci 19140, cocamidopropyl betaine, disodium edta, fragrance, hydroxyethylcellulose, isopentyldiol, methylchloroisothiazolinone / methylisothiazolinone, polyquaternium-10, polysorbate 20, sodium lauroyl sarcosinate",5,3.445643,-0.11557279
Baby Lotion 100 ml,"ci 14720, carbomer, cetyl alcohol, cetyl alcohol (and) glyceryl stearate (and) peg-75 stearate (and) ceteth-20 (and) steareth-20, cyclopentasiloxane, deionized water, fragrance, glyceryl stearate, methylpropanediol, mineral oil, phenoxyethanol, ethylhexylglycerin, pretrolatum, propylene glycol, stearic acid, titanium dioxide, tocopheryl acetate",5,13.822374,9.122536
Baby Oil,"fragrance, mineral oil, tocopherol acetate",5,11.876061,4.8378954
Baby Powder 100 g,"cyclopentasiloxane, fragrance, talcam",5,1.9859079,7.1068854
Baby Soap 70/80/100g,"deionized water, fragrance, glycerin, propylene glycol, o-phenylphenol, prunus amygdalus dulcis (sweet almond) oil, sodium lauryl sulfate, sodium palmate, sodium palm kernelate, titanium dioxide",2,7.975024,0.5863831
Baby Soap 70g,"ci 19140, chamomilla recutita (matricaria) flower extract, deionized water, glycerin, sodium palmate, sodium palm kernelate, titanium dioxide, tocopheryl acetate",2,8.507382,0.6517626
Baby Soap 80g,"bis-peg-15 methyl ether dimethicone, deionized water, fragrance, sodium cocoyl isethionate , sodium palmate, sodium palm kernelate, titanium dioxide, water (and) butylene glycol (and) sophora flavescens root extract (and) glycyrrhiza inflata root extract (and) scutellaria baicalensis root extract",2,8.738262,1.419734
Baby Soothing Diaper Cream,"benzyl alcohol, ethylhexylglycerin, and tocopherol, capric/ capylic triglyceride, carbomer, cetyl alcohol, cetyl alcohol (and) glyceryl stearate (and) peg-75 stearate (and) ceteth-20 (and) steareth-20, cyclopentasiloxane, deionized water, fragrance, glyceryl stearate, methylpropanediol, propylene glycol, stearic acid, tocopheryl acetate, water (and) butylene glycol (and) artemisia princeps leaf extract, water (and) butylene glycol (and) sophora flavescens root extract (and) glycyrrhiza inflata root extract (and) scutellaria baicalensis root extract., zinc oxide",5,13.872753,9.159805
